ingredient,url,type,use
Cascade,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cascade/,Other,Other
Cascara de naranja,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cascara-de-naranja/,Spice,Boil
CaSO4,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/caso4/,Water Agt,Mash
CaSO4 (gypsum),https://www.brewersfriend.comhttps://www.brewersfriend.com/other/caso4-gypsum/,Water Agt,Mash
Cayenne ,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cayenne/,Spice,Secondary
Cayenne Pepper,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cayenne-pepper/,Spice,Primary
Cellabrite,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cellabrite/,Fining,Bottling
Centennial,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/centennial/,Fining,Primary
Ceylon cinnamon sticks,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/ceylon-cinnamon-sticks/,Spice,Boil
Chai Tea,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chai-tea/,Spice,Primary
Chalk,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chalk/,Water Agt,Mash
Chalk (CaCO3),https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chalk-caco3/,Water Agt,Other
Chalk (Calcium Carbonate),https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chalk-calcium-carbonate/,Water Agt,Mash
Chamomile,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile/,Herb,Secondary
Chamomile Flower,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile-flower/,Spice,Boil
Chamomile Flowers,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile-flowers/,Herb,Boil
Chamomile Tea,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile-tea/,Herb,Boil
Chamomile tea bag,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile-tea-bag/,Herb,Boil
Chamomile tea bags,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomile-tea-bags/,Herb,Boil
Chamomille,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chamomille/,Herb,Boil
Cherries,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cherries/,Flavor,Boil
Cherry,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cherry/,Flavor,Secondary
Cherry Extract,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cherry-extract/,Flavor,Bottling
Cherry juice,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cherry-juice/,Other,Primary
Cherry Puree,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/cherry-puree/,Flavor,Secondary
Chestnuts,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chestnuts/,Flavor,Boil
Chili,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chili/,Spice,Boil
Chiller,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chiller/,Other,Boil
Chiller/Thermocouple,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chiller-thermocouple/,Other,Boil
Chilli,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chilli/,Spice,Boil
Chipotle,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chipotle/,Spice,Secondary
Chipotle Pepper,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chipotle-pepper/,Spice,Secondary
Chipotle peppers,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chipotle-peppers/,Spice,Boil
Chloride,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/chloride/,Water Agt,Mash
